D,LowerLimit,UpperLimit,Kp_ref,Kp_PSO,Ti_ref,Ti_PSO,Td_ref,Td_PSO,ITAE_ref,ITAE_PSO
1.0,-2,2,10,10.0,3,0.8629895763752791,1,0.20857483110093702,7.909083208862348,0.10121694421548774
1.0,-3,3,10,10.0,3,0.8707978762237556,1,0.21171504976982186,4.2756260689715315,0.10119852896830561
1.0,-5,5,10,10.0,3,0.8626605967475393,1,0.21140611910472576,3.9067596378039235,0.10121431195970496
1.0,-10,10,10,10.0,3,0.8733724092817805,1,0.2062730934713134,3.722392425702082,0.1012103783145908
0.7,-2,2,10,10.0,3,0.8711896232552738,1,0.2628847699007414,6.790118690128339,0.10062167012961706
0.7,-3,3,10,10.0,3,0.8653651543891434,1,0.26768159522837803,3.8974923996990585,0.10057516376247608
0.7,-5,5,10,10.0,3,0.8681440557479995,1,0.2696453869562218,3.6067694938877097,0.10057303338821776
0.7,-10,10,10,10.0,3,0.8690767080967559,1,0.2684071076487181,3.4270187771505496,0.1005707743820978
0.6,-2,2,10,10.0,3,0.8676460142198131,1,0.28585653503838204,6.467667805046965,0.10037173821743227
0.6,-3,3,10,10.0,3,0.8688869510452438,1,0.2870511388342055,3.7858342527488795,0.10036559403595113
0.6,-5,5,10,9.999868915747733,3,0.8683860258778597,1,0.2882509500977901,3.5110072307849833,0.10036653543683469
0.6,-10,10,10,10.0,3,0.8647094866459457,1,0.288721131839723,3.3325856434032644,0.10036631361782823
0.5,-2,2,10,9.99950089871634,3,0.859901861126287,1,0.3081048031788919,6.163979415503118,0.10017970347321592
0.5,-3,3,10,10.0,3,0.8612835395564482,1,0.3060736803978669,3.683864529253648,0.10017263981937992
0.5,-5,5,10,10.0,3,0.8691781933963043,1,0.3070126397400917,3.4172969765485037,0.10015921070233891
0.5,-10,10,10,10.0,3,0.8638672624648708,1,0.30606922956286636,3.2400963192282357,0.1001646553780255
0.4,-2,2,10,10.0,3,0.8576456102160409,1,0.32635038805438754,5.876539319073202,0.09997426947161023
0.4,-3,3,10,10.0,3,0.8665071366411107,1,0.32831940129203846,3.5854531100576805,0.09995244370966566
0.4,-5,5,10,10.0,3,0.865432256548852,1,0.32672990156436443,3.3255377131605313,0.09995031403551143
0.4,-10,10,10,10.0,3,0.8547344402670981,1,0.33109186554404413,3.1494514136747735,0.10000011099118165
0.3,-2,2,10,10.0,3,0.861410426016026,1,0.3473685326560596,5.6034106509822434,0.09974651600741394
0.3,-3,3,10,9.999245348746083,3,0.8528991681221203,1,0.34725884383412764,3.4893117997307357,0.09980088389187028
0.3,-5,5,10,10.0,3,0.870443514863412,1,0.35144680553093965,3.2355618824229753,0.099798109152433
0.3,-10,10,10,10.0,3,0.8703309292526383,1,0.34331664280848617,3.0604878718491495,0.09976834804738588
0.2,-2,2,10,10.0,3,0.8657492696509144,1,0.36549817769587856,5.343073376638415,0.09953808343853185
0.2,-3,3,10,10.0,3,0.8508623243187128,1,0.37150016270866093,3.3951315830764814,0.09961292924215345
0.2,-5,5,10,10.0,3,0.8601332391125927,1,0.3679854587913365,3.147113255229587,0.0995429382236309
0.2,-10,10,10,10.0,3,0.8683535765900754,1,0.37117382822509015,2.972959507145161,0.09958787098968243
0.1,-2,2,10,10.0,3,0.8639920584193178,1,0.38673718132100365,5.094315550093137,0.09933059427218378
0.1,-3,3,10,10.0,3,0.8609101372054828,1,0.3861879636742055,3.3021371958080996,0.09933041476925217
0.1,-5,5,10,10.0,3,0.8634940255443142,1,0.3859231509959491,3.0594974781898396,0.09932918000788625
0.1,-10,10,10,10.0,3,0.8589946784386919,1,0.38995029997962355,2.8862058155563632,0.09935601030470183
0.0,-2,2,10,10.0,3,0.8650628325459881,1,0.40661355010284295,4.856157644814093,0.09912784191181065
0.0,-3,3,10,10.0,3,0.864780675590531,1,0.4076990260267823,3.209628194973674,0.09913392767932021
0.0,-5,5,10,10.0,3,0.8679353100966785,1,0.4043179719688736,2.972094024702285,0.09913412412612511
0.0,-10,10,10,9.999977039818972,3,0.8622340162011535,1,0.40175884293863207,2.79964613744496,0.09914794660548505
