n,LowerLimit,UpperLimit,Kp_ref,Kp_PSO,Ti_ref,Ti_PSO,Td_ref,Td_PSO,ITAE_ref,ITAE_PSO
1,-2,2,9.3,10.0,2.9,3.115824304549822,0.0,0.0,0.07219251361354047,0.07018230331486772
1,-3,3,9.5,10.0,1.9,1.9883940853960598,0.0,0.0,0.030090101145873863,0.029340819855031668
1,-5,5,9.1,10.0,1.2,1.2788954548554368,0.0,0.0,0.01567450816878997,0.013678422469408506
1,-10,10,10.0,10.0,1.0,0.9991836737547066,0.0,0.0,0.009984999918263135,0.010016483820625866
2,-2,2,10.0,10.0,9.6,9.602932984698917,0.3,0.30848536327753884,0.606225934463596,0.590480421179272
2,-3,3,10.0,9.983116688057963,7.3,7.338960559193421,0.3,0.30854819003234074,0.3652122786588167,0.3624674668118634
2,-5,5,9.6,10.0,5.4,5.635113583440617,0.3,0.3009211942326408,0.24643883269429176,0.23757596886313082
2,-10,10,9.8,10.0,4.7,4.73758735391375,0.3,0.29766611975725765,0.19689346855159565,0.18831753353167116
3,-2,2,5.4,5.764345725970515,9.4,10.0,0.7,0.694111010633191,1.8690757060880168,1.8616297257758256
3,-3,3,7.0,6.978934883965718,10.0,9.985481036133047,0.7,0.7030854995351797,1.3651739845378301,1.3391004780865565
3,-5,5,8.2,8.494384838703828,9.6,9.997011756155228,0.7,0.7123804590117787,1.011914670844675,1.0029192618155414
3,-10,10,10.0,10.0,9.7,9.858114276072657,0.7,0.7173279151368535,0.8118478132133701,0.8005600587716499
4,-2,2,1.9,1.9226018571075303,5.0,4.752696243141665,1.1,1.1793642389695453,4.7117662337731225,4.255565282236953
4,-3,3,2.4,2.230855511151155,5.9,5.090418387992366,1.2,1.2082992463228126,4.5117745572070085,4.069278024614078
4,-5,5,2.3,2.20983426262091,5.7,4.987967126046579,1.2,1.2002455434326347,4.433785069394026,3.97614296421527
4,-10,10,2.1,2.166043570286769,5.0,4.768072428301718,1.1,1.1883593186289154,4.245377375182132,3.8012788684967234
5,-2,2,1.4,1.8223849777754155,5.3,4.884274328235049,1.4,2.097761261671206,9.96345993303873,7.024357220631295
5,-3,3,1.4,1.9015600819910015,5.2,4.863691770531794,1.4,2.100218439191317,9.765665891043778,6.883539410284486
5,-5,5,1.4,1.889172728156913,5.2,4.827114625832778,1.4,2.077084242761058,9.6128450682483,6.745063391205821
5,-10,10,1.4,1.861043463052384,5.0,4.717530789732415,1.4,2.042569520226954,9.12743886708429,6.477154243176805
6,-2,2,1.1,0.6595057936231846,5.5,0.1,1.7,10.0,16.782468178040965,10.116728914239815
6,-3,3,1.1,1.7201863201578942,5.5,2.526923601110842,1.7,5.895398839921049,16.64183860344861,9.946934984402949
6,-5,5,1.1,1.697639322593463,5.4,2.848307700705082,1.7,5.2595989357860145,16.255122628171385,9.773984331312866
6,-10,10,1.1,1.6955159649414466,5.3,2.953816921430564,1.7,4.947927929586893,15.66437820730556,9.387326359521444
